ds,y,estacion,tramo,dia_semana,es_feriado,hora
2024-01-01 00:00:00,0,Naranjal,Norte,0,True,0
2024-01-01 01:00:00,0,Naranjal,Norte,0,True,1
2024-01-01 02:00:00,0,Naranjal,Norte,0,True,2
2024-01-01 03:00:00,0,Naranjal,Norte,0,True,3
2024-01-01 04:00:00,1,Naranjal,Norte,0,True,4
2024-01-01 05:00:00,179,Naranjal,Norte,0,True,5
2024-01-01 06:00:00,830,Naranjal,Norte,0,True,6
2024-01-01 07:00:00,1545,Naranjal,Norte,0,True,7
2024-01-01 08:00:00,1399,Naranjal,Norte,0,True,8
2024-01-01 09:00:00,860,Naranjal,Norte,0,True,9
2024-01-01 10:00:00,326,Naranjal,Norte,0,True,10
2024-01-01 11:00:00,222,Naranjal,Norte,0,True,11
2024-01-01 12:00:00,244,Naranjal,Norte,0,True,12
2024-01-01 13:00:00,195,Naranjal,Norte,0,True,13
2024-01-01 14:00:00,205,Naranjal,Norte,0,True,14
2024-01-01 15:00:00,323,Naranjal,Norte,0,True,15
2024-01-01 16:00:00,581,Naranjal,Norte,0,True,16
2024-01-01 17:00:00,1135,Naranjal,Norte,0,True,17
2024-01-01 18:00:00,1201,Naranjal,Norte,0,True,18
2024-01-01 19:00:00,898,Naranjal,Norte,0,True,19
2024-01-01 20:00:00,614,Naranjal,Norte,0,True,20
2024-01-01 21:00:00,173,Naranjal,Norte,0,True,21
2024-01-01 22:00:00,38,Naranjal,Norte,0,True,22
2024-01-01 23:00:00,0,Naranjal,Norte,0,True,23
2024-01-02 00:00:00,0,Naranjal,Norte,1,False,0
2024-01-02 01:00:00,0,Naranjal,Norte,1,False,1
2024-01-02 02:00:00,0,Naranjal,Norte,1,False,2
2024-01-02 03:00:00,0,Naranjal,Norte,1,False,3
2024-01-02 04:00:00,1,Naranjal,Norte,1,False,4
2024-01-02 05:00:00,469,Naranjal,Norte,1,False,5
2024-01-02 06:00:00,1774,Naranjal,Norte,1,False,6
2024-01-02 07:00:00,4475,Naranjal,Norte,1,False,7
2024-01-02 08:00:00,3858,Naranjal,Norte,1,False,8
2024-01-02 09:00:00,1919,Naranjal,Norte,1,False,9
2024-01-02 10:00:00,975,Naranjal,Norte,1,False,10
2024-01-02 11:00:00,538,Naranjal,Norte,1,False,11
2024-01-02 12:00:00,639,Naranjal,Norte,1,False,12
2024-01-02 13:00:00,510,Naranjal,Norte,1,False,13
2024-01-02 14:00:00,565,Naranjal,Norte,1,False,14
2024-01-02 15:00:00,918,Naranjal,Norte,1,False,15
2024-01-02 16:00:00,1826,Naranjal,Norte,1,False,16
2024-01-02 17:00:00,2945,Naranjal,Norte,1,False,17
2024-01-02 18:00:00,3437,Naranjal,Norte,1,False,18
2024-01-02 19:00:00,2668,Naranjal,Norte,1,False,19
2024-01-02 20:00:00,1201,Naranjal,Norte,1,False,20
2024-01-02 21:00:00,433,Naranjal,Norte,1,False,21
2024-01-02 22:00:00,96,Naranjal,Norte,1,False,22
2024-01-02 23:00:00,0,Naranjal,Norte,1,False,23
2024-01-03 00:00:00,0,Naranjal,Norte,2,False,0
2024-01-03 01:00:00,0,Naranjal,Norte,2,False,1
2024-01-03 02:00:00,0,Naranjal,Norte,2,False,2
2024-01-03 03:00:00,0,Naranjal,Norte,2,False,3
2024-01-03 04:00:00,1,Naranjal,Norte,2,False,4
2024-01-03 05:00:00,513,Naranjal,Norte,2,False,5
2024-01-03 06:00:00,2082,Naranjal,Norte,2,False,6
2024-01-03 07:00:00,4128,Naranjal,Norte,2,False,7
2024-01-03 08:00:00,3539,Naranjal,Norte,2,False,8
2024-01-03 09:00:00,2080,Naranjal,Norte,2,False,9
2024-01-03 10:00:00,931,Naranjal,Norte,2,False,10
2024-01-03 11:00:00,673,Naranjal,Norte,2,False,11
2024-01-03 12:00:00,596,Naranjal,Norte,2,False,12
2024-01-03 13:00:00,623,Naranjal,Norte,2,False,13
2024-01-03 14:00:00,580,Naranjal,Norte,2,False,14
2024-01-03 15:00:00,792,Naranjal,Norte,2,False,15
2024-01-03 16:00:00,1839,Naranjal,Norte,2,False,16
2024-01-03 17:00:00,3288,Naranjal,Norte,2,False,17
2024-01-03 18:00:00,3453,Naranjal,Norte,2,False,18
2024-01-03 19:00:00,3027,Naranjal,Norte,2,False,19
2024-01-03 20:00:00,1460,Naranjal,Norte,2,False,20
2024-01-03 21:00:00,436,Naranjal,Norte,2,False,21
2024-01-03 22:00:00,104,Naranjal,Norte,2,False,22
2024-01-03 23:00:00,0,Naranjal,Norte,2,False,23
2024-01-04 00:00:00,0,Naranjal,Norte,3,False,0
2024-01-04 01:00:00,0,Naranjal,Norte,3,False,1
2024-01-04 02:00:00,0,Naranjal,Norte,3,False,2
2024-01-04 03:00:00,0,Naranjal,Norte,3,False,3
2024-01-04 04:00:00,1,Naranjal,Norte,3,False,4
2024-01-04 05:00:00,469,Naranjal,Norte,3,False,5
2024-01-04 06:00:00,1905,Naranjal,Norte,3,False,6
2024-01-04 07:00:00,3026,Naranjal,Norte,3,False,7
2024-01-04 08:00:00,3779,Naranjal,Norte,3,False,8
2024-01-04 09:00:00,2223,Naranjal,Norte,3,False,9
2024-01-04 10:00:00,1034,Naranjal,Norte,3,False,10
2024-01-04 11:00:00,581,Naranjal,Norte,3,False,11
2024-01-04 12:00:00,575,Naranjal,Norte,3,False,12
2024-01-04 13:00:00,603,Naranjal,Norte,3,False,13
2024-01-04 14:00:00,712,Naranjal,Norte,3,False,14
2024-01-04 15:00:00,930,Naranjal,Norte,3,False,15
2024-01-04 16:00:00,1611,Naranjal,Norte,3,False,16
2024-01-04 17:00:00,3044,Naranjal,Norte,3,False,17
2024-01-04 18:00:00,3512,Naranjal,Norte,3,False,18
2024-01-04 19:00:00,3018,Naranjal,Norte,3,False,19
2024-01-04 20:00:00,1310,Naranjal,Norte,3,False,20
2024-01-04 21:00:00,451,Naranjal,Norte,3,False,21
2024-01-04 22:00:00,96,Naranjal,Norte,3,False,22
2024-01-04 23:00:00,0,Naranjal,Norte,3,False,23
2024-01-05 00:00:00,0,Naranjal,Norte,4,False,0
2024-01-05 01:00:00,0,Naranjal,Norte,4,False,1
2024-01-05 02:00:00,0,Naranjal,Norte,4,False,2
2024-01-05 03:00:00,0,Naranjal,Norte,4,False,3
2024-01-05 04:00:00,1,Naranjal,Norte,4,False,4
2024-01-05 05:00:00,463,Naranjal,Norte,4,False,5
2024-01-05 06:00:00,1823,Naranjal,Norte,4,False,6
2024-01-05 07:00:00,3474,Naranjal,Norte,4,False,7
2024-01-05 08:00:00,3802,Naranjal,Norte,4,False,8
2024-01-05 09:00:00,2233,Naranjal,Norte,4,False,9
2024-01-05 10:00:00,1071,Naranjal,Norte,4,False,10
2024-01-05 11:00:00,624,Naranjal,Norte,4,False,11
2024-01-05 12:00:00,642,Naranjal,Norte,4,False,12
2024-01-05 13:00:00,630,Naranjal,Norte,4,False,13
2024-01-05 14:00:00,527,Naranjal,Norte,4,False,14
2024-01-05 15:00:00,898,Naranjal,Norte,4,False,15
2024-01-05 16:00:00,1711,Naranjal,Norte,4,False,16
2024-01-05 17:00:00,3609,Naranjal,Norte,4,False,17
2024-01-05 18:00:00,3412,Naranjal,Norte,4,False,18
2024-01-05 19:00:00,2835,Naranjal,Norte,4,False,19
2024-01-05 20:00:00,1405,Naranjal,Norte,4,False,20
2024-01-05 21:00:00,412,Naranjal,Norte,4,False,21
2024-01-05 22:00:00,112,Naranjal,Norte,4,False,22
2024-01-05 23:00:00,0,Naranjal,Norte,4,False,23
2024-01-06 00:00:00,0,Naranjal,Norte,5,False,0
2024-01-06 01:00:00,0,Naranjal,Norte,5,False,1
2024-01-06 02:00:00,0,Naranjal,Norte,5,False,2
2024-01-06 03:00:00,0,Naranjal,Norte,5,False,3
2024-01-06 04:00:00,1,Naranjal,Norte,5,False,4
2024-01-06 05:00:00,442,Naranjal,Norte,5,False,5
2024-01-06 06:00:00,1276,Naranjal,Norte,5,False,6
2024-01-06 07:00:00,2672,Naranjal,Norte,5,False,7
2024-01-06 08:00:00,2927,Naranjal,Norte,5,False,8
2024-01-06 09:00:00,1529,Naranjal,Norte,5,False,9
2024-01-06 10:00:00,571,Naranjal,Norte,5,False,10
2024-01-06 11:00:00,463,Naranjal,Norte,5,False,11
2024-01-06 12:00:00,420,Naranjal,Norte,5,False,12
2024-01-06 13:00:00,499,Naranjal,Norte,5,False,13
2024-01-06 14:00:00,444,Naranjal,Norte,5,False,14
2024-01-06 15:00:00,780,Naranjal,Norte,5,False,15
2024-01-06 16:00:00,1176,Naranjal,Norte,5,False,16
2024-01-06 17:00:00,2102,Naranjal,Norte,5,False,17
2024-01-06 18:00:00,2821,Naranjal,Norte,5,False,18
2024-01-06 19:00:00,1810,Naranjal,Norte,5,False,19
2024-01-06 20:00:00,1081,Naranjal,Norte,5,False,20
2024-01-06 21:00:00,395,Naranjal,Norte,5,False,21
2024-01-06 22:00:00,63,Naranjal,Norte,5,False,22
2024-01-06 23:00:00,0,Naranjal,Norte,5,False,23
2024-01-07 00:00:00,0,Naranjal,Norte,6,False,0
2024-01-07 01:00:00,0,Naranjal,Norte,6,False,1
2024-01-07 02:00:00,0,Naranjal,Norte,6,False,2
2024-01-07 03:00:00,0,Naranjal,Norte,6,False,3
2024-01-07 04:00:00,1,Naranjal,Norte,6,False,4
2024-01-07 05:00:00,274,Naranjal,Norte,6,False,5
2024-01-07 06:00:00,1064,Naranjal,Norte,6,False,6
2024-01-07 07:00:00,2150,Naranjal,Norte,6,False,7
2024-01-07 08:00:00,1981,Naranjal,Norte,6,False,8
2024-01-07 09:00:00,1208,Naranjal,Norte,6,False,9
2024-01-07 10:00:00,510,Naranjal,Norte,6,False,10
2024-01-07 11:00:00,313,Naranjal,Norte,6,False,11
2024-01-07 12:00:00,409,Naranjal,Norte,6,False,12
2024-01-07 13:00:00,366,Naranjal,Norte,6,False,13
2024-01-07 14:00:00,316,Naranjal,Norte,6,False,14
2024-01-07 15:00:00,528,Naranjal,Norte,6,False,15
2024-01-07 16:00:00,844,Naranjal,Norte,6,False,16
2024-01-07 17:00:00,1718,Naranjal,Norte,6,False,17
2024-01-07 18:00:00,2135,Naranjal,Norte,6,False,18
2024-01-07 19:00:00,1389,Naranjal,Norte,6,False,19
2024-01-07 20:00:00,850,Naranjal,Norte,6,False,20
2024-01-07 21:00:00,267,Naranjal,Norte,6,False,21
2024-01-07 22:00:00,60,Naranjal,Norte,6,False,22
2024-01-07 23:00:00,0,Naranjal,Norte,6,False,23
2024-01-08 00:00:00,0,Naranjal,Norte,0,False,0
2024-01-08 01:00:00,0,Naranjal,Norte,0,False,1
2024-01-08 02:00:00,0,Naranjal,Norte,0,False,2
